id,name,code,barcode,product_type,unit,cost_price,selling_price,min_stock_level,is_active,created_at,category_id,unit_new_id,colors,fabric_quantity_per_piece,quality_grade,width
20,جكرونه karl,ACC-0010,,accessory,piece,0.0,,10000,1,2025-07-05 12:58:19.202392,1,,,,A,
21,جكرونه 555 بني,ACC-0011,,accessory,piece,0.0,,1000,1,2025-07-05 12:58:58.149583,1,,,,A,
22,جكرونه A&M ابيض مشكله *,ACC-0012,,accessory,piece,0.0,,0,1,2025-07-05 12:59:45.050638,1,,,,A,
23,جكرونه A&M عسلي مشكله *,ACC-0013,,accessory,piece,0.0,,0,1,2025-07-05 12:59:59.866400,1,,,,A,
24,جكرونه هاتريك,ACC-0014,,accessory,piece,0.0,,3000,1,2025-07-05 13:00:31.503340,1,,,,A,
25,جكرونه guess,ACC-0015,,accessory,piece,0.0,,5000,1,2025-07-05 13:01:31.301258,1,,,,A,
26,جكرونه tommy,ACC-0016,,accessory,piece,0.0,,1000,1,2025-07-05 13:02:02.700807,1,,,,A,
27,خيط ساريهات,THR-0006,,thread,piece,0.0,,100,1,2025-07-05 13:02:48.870790,1,,,,A,
28,جكرونه A&M عسلي,ACC-0017,,accessory,piece,0.0,,5000,1,2025-07-05 13:03:24.319919,1,,,,A,
29,خيط الأوفر,THR-0007,,thread,piece,0.0,,5,1,2025-07-05 13:06:08.570906,1,,,,A,
30,قماش 117,FAB-0001,,fabric,piece,0.0,,1000,1,2025-07-06 07:01:02.835020,1,,,,A,178.0
31,بنطلون 117 اطفال,FIN-0001,,finished,piece,0.0,1.0,48,1,2025-07-06 07:06:06.450641,1,,درجات كحلي,1.0,A,
32,دبلان,ACC-0018,,accessory,piece,0.0,,1000,1,2025-07-06 07:11:10.935730,1,,,,A,
33,تيكت مقاسات,ACC-0019,,accessory,piece,0.0,,1044,1,2025-07-06 07:11:41.084903,1,,,,A,
34,بنطلون خاص guess,FIN-0002,,finished,piece,0.0,1.0,48,1,2025-07-06 11:58:43.233308,3,,"اسود,كحلي",1.13,A,
35,قماش guess,FAB-0002,,fabric,meter,0.0,,1000,1,2025-07-06 12:00:28.448740,1,,,,A,1.7
36,بنطلون guess رجالي,FIN-0003,,finished,piece,0.0,1.0,48,1,2025-07-06 12:03:08.684544,3,,درجات كحلي,1.05,A,
37,بنطلون رجالي جامبو,FIN-0004,,finished,piece,0.0,1.0,48,1,2025-07-07 08:55:08.576114,3,,"اسود,كحلي",1.22,A,
38,بنطلون جامبو guess,FIN-0005,,finished,piece,0.0,1.0,48,1,2025-07-09 06:26:23.897603,3,,"اسود,كحلي",1.23,A,
39,بنطلون أولادي guess,FIN-0006,,finished,piece,0.0,1.0,48,1,2025-07-09 12:04:12.816656,6,,"اسود,كحلي",0.7,A,
40,بنطلون karl رجالي,FIN-0007,,finished,piece,0.0,1.0,48,1,2025-07-09 13:17:00.985684,3,,اسود,,A,
41,قماش karl,FAB-0003,,fabric,piece,0.0,,1000,1,2025-07-09 13:19:15.061134,1,,,,A,160.0
42,قماش جينز سوفت,FAB-0004,,fabric,meter,0.0,,500,1,2025-07-12 06:18:42.884697,1,,,,A,160.0
43,بنطلون رجالي سوفت,FIN-0008,,finished,piece,0.0,1.0,48,1,2025-07-12 08:38:12.935950,3,,"اسود , رصاصي",1.08,A,
44,بنطلون اولادي سوفت,FIN-0009,,finished,piece,0.0,1.0,48,1,2025-07-13 11:24:30.988263,6,,"اسود , رصاصي",0.73,A,
45,قماش جينز newland,FAB-0005,,fabric,piece,0.0,,500,1,2025-07-14 09:04:19.193355,1,,,,A,160.0
46,بنطلون رجالي newland,FIN-0010,,finished,piece,0.0,1.0,48,1,2025-07-16 13:48:02.753579,3,,"اسود,كحلي",1.07,A,
47,بنطلون أولادي newland,FIN-0011,,finished,piece,0.0,1.0,48,1,2025-07-16 14:00:50.138947,6,,"اسود,كحلي",0.74,A,
48,بنطلون رجالي tommy,FIN-0012,,finished,piece,0.0,1.0,48,1,2025-07-16 14:16:57.340276,3,,"اسود,كحلي",1.38,A,
49,بنطلون أولادي tommy,FIN-0013,,finished,piece,0.0,1.0,48,1,2025-07-16 14:18:02.656849,6,,"اسود,كحلي",0.7,A,
50,قماش جينز tommy,FAB-0006,,fabric,piece,0.0,,1000,1,2025-07-19 09:37:40.580043,1,,,,A,1.72
51,بنطلون رجالي Lee,FIN-0014,,finished,piece,0.0,1.0,48,1,2025-07-21 12:45:04.547702,3,,كحليات,1.1,A,
52,قماش جينز Lee,FAB-0007,,fabric,meter,0.0,,1000,1,2025-07-21 12:45:56.298497,1,,,,A,152.0
53,بنطلون خاص karl,FIN-0015,,finished,piece,0.0,1.0,48,1,2025-07-21 12:48:06.426070,3,,اسود,1.24,A,
54,سوسته اسود مقاس 18,ZIP-0001,,zipper,piece,0.0,,1000,1,2025-07-23 10:02:18.621643,1,,,,A,
55,سوسته اسود مقاس 15,ZIP-0002,,zipper,piece,0.0,,1000,1,2025-07-23 10:02:46.777674,1,,,,A,
56,سوسته اسود مقاس 14,ZIP-0003,,zipper,piece,1.0,,1000,1,2025-07-23 10:03:14.060299,1,,,,A,
57,سوسته اسود مقاس 12,ZIP-0004,,zipper,piece,2.5,,1000,1,2025-07-23 10:03:45.728300,1,,,,A,
58,سوسته اسود مقاس 10,ZIP-0005,,zipper,piece,2.5,,1000,1,2025-07-23 10:04:18.527186,1,,,,A,
59,سوسته اسود مقاس 8,ZIP-0006,,zipper,piece,2.5,,1000,1,2025-07-23 10:04:52.540813,1,,,,A,
60,سوسته اسود مقاس 6,ZIP-0007,,zipper,piece,2.5,,1000,1,2025-07-23 10:05:48.677576,1,,,,A,
62,سوسته كحلي مقاس 6,ZIP-0009,,zipper,piece,2.5,,1000,1,2025-07-23 10:06:46.661179,1,,,,A,
63,سوسته كحلي مقاس 8,ZIP-0010,,zipper,piece,2.5,,1000,1,2025-07-23 10:07:26.476960,1,,,,A,
64,سوسته كحلي مقاس 10,ZIP-0011,,zipper,piece,2.5,,1000,1,2025-07-23 10:08:03.490808,1,,,,A,
65,سوسته كحلي مقاس 12,ZIP-0012,,zipper,piece,2.5,,1000,1,2025-07-23 10:08:40.615529,1,,,,A,
66,سوسته كحلي مقاس 14,ZIP-0013,,zipper,piece,2.5,,1000,1,2025-07-23 10:09:05.977694,1,,,,A,
67,سوسته كحلي مقاس 15,ZIP-0014,,zipper,piece,2.5,,1000,1,2025-07-23 10:09:52.427197,1,,,,A,
69,سوسته كحلي مقاس 18,ZIP-0016,,zipper,piece,2.5,,1000,1,2025-07-23 10:10:49.325339,1,,,,A,
