id,movement_type,quantity,reference_number,notes,created_at,created_by_id,stock_item_id
16,adjustment,216000.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:11.098561,1,10
17,adjustment,10000.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:11.170371,1,13
18,adjustment,75000.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:12.204595,1,11
19,adjustment,3000.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:12.261898,1,14
20,adjustment,9500.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:13.262894,1,12
21,adjustment,95000.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:14.263768,1,9
22,adjustment,132842.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:14.323677,1,8
23,adjustment,231.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 0.00,2025-07-05 13:25:14.380018,1,2
24,in,1000.0,NEW-20250706070232,إنشاء مخزون جديد,2025-07-06 07:02:32.534478,1,30
25,in,1.0,NEW-20250706070632,إنشاء مخزون جديد,2025-07-06 07:06:32.035189,1,31
26,in,2088.0,NEW-20250706071217,إنشاء مخزون جديد,2025-07-06 07:12:17.317750,1,32
27,in,1044.0,NEW-20250706071228,إنشاء مخزون جديد,2025-07-06 07:12:28.151318,1,33
28,out,529.0,CUT-ORD-20250706-9665,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250706-9665,2025-07-06 07:42:45.690160,1,30
29,out,1044.0,ASM-1,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #1,2025-07-06 07:53:57.837507,1,8
30,out,1044.0,ASM-1,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #1,2025-07-06 07:53:57.840540,1,33
31,out,2088.0,ASM-1,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #1,2025-07-06 07:53:58.825525,1,32
32,in,4500.0,NEW-20250706120603,إنشاء مخزون جديد,2025-07-06 12:06:03.632519,1,34
33,adjustment,1.0,ADJ-20250706121116,تسوية يدوية: ,2025-07-06 12:11:16.717959,1,34
34,out,1.0,ADJ-20250706121124,تسوية يدوية: ,2025-07-06 12:11:24.450150,1,34
35,in,4500.0,NEW-20250706121204,إنشاء مخزون جديد,2025-07-06 12:12:04.050741,1,35
36,in,1.0,NEW-20250706121238,إنشاء مخزون جديد,2025-07-06 12:12:38.433347,1,36
37,in,1.0,NEW-20250706121440,إنشاء مخزون جديد,2025-07-06 12:14:40.000708,1,37
38,in,3690.0,ADD-20250706121623,إضافة مخزون. الكمية السابقة: 0.00,2025-07-06 12:16:23.783791,1,33
39,in,1850.0,ADD-20250706121700,إضافة مخزون. الكمية السابقة: 0.00,2025-07-06 12:17:00.534311,1,32
40,out,456.0,,,2025-07-07 07:37:54.436058,1,9
41,out,444.0,محمد جمال,,2025-07-07 07:38:29.584483,1,8
42,out,1232.14,CUT-1439,استهلاك قماش لعملية القص لأمر الإنتاج #1439,2025-07-07 07:43:42.566961,1,35
43,out,558.0,ASM-2,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #2,2025-07-07 07:57:06.400153,1,8
44,out,618.0,ASM-2,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #2,2025-07-07 07:57:06.402421,1,9
45,out,803.92,CUT-ORD-20250706-1440,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250706-1440,2025-07-07 08:05:01.319430,1,35
46,out,356.0,ASM-3,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #3,2025-07-07 08:13:53.955703,1,9
47,out,352.0,ASM-3,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #3,2025-07-07 08:13:53.972336,1,8
48,in,1.0,NEW-20250707085544,إنشاء مخزون جديد,2025-07-07 08:55:44.593219,1,38
49,in,1.0,ADD-20250707092747,إضافة مخزون. الكمية السابقة: 2.00,2025-07-07 09:27:47.245736,1,29
50,out,1018.22,CUT-ORD-20250707-1441,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250707-1441,2025-07-07 09:50:16.945513,1,35
51,in,1525.54,1767 BLACK,اسود,2025-07-07 10:56:02.472377,1,35
52,in,1465.75,1806 SMART BLUE MEGAN,,2025-07-07 10:57:08.754997,1,35
53,out,963.52,CUT-ORD-20250709-1443,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250709-1443,2025-07-09 11:34:39.610605,1,35
54,out,1035.86,CUT-ORD-20250707-1442,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250707-1442,2025-07-09 11:34:57.178546,1,35
55,out,781.78,CUT-ORD-20250709-1444,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250709-1444,2025-07-09 12:13:26.065040,1,35
56,out,1500.0,محمد جمال,3 علبه زرار,2025-07-09 12:56:40.564775,1,11
57,out,1500.0,محمد جمال,,2025-07-09 12:57:17.097609,1,9
58,out,75.0,محمد جمال,,2025-07-09 12:58:16.441019,1,9
59,out,770.0,عبدالله,,2025-07-09 13:00:31.921085,1,9
60,out,486.0,محمد جمال,,2025-07-09 13:01:30.099002,1,9
61,out,528.0,محمد جمال,,2025-07-09 13:01:57.503298,1,8
62,out,30.0,ابو ساجد,,2025-07-09 13:02:55.860654,1,19
63,in,1541.0,محمد مسعود,,2025-07-09 13:04:14.889596,1,32
64,out,1027.0,طارق سامي 8 اتواب تقريبا 1027متر,نزلت البنك تحت اجمالي 8 اتواب,2025-07-09 13:06:25.201850,1,32
65,in,1000.0,NEW-20250709132028,إنشاء مخزون جديد,2025-07-09 13:20:28.072728,1,39
66,in,1000.0,ADD-20250709132618,إضافة مخزون. الكمية السابقة: 1000.00,2025-07-09 13:26:18.643778,1,39
67,in,1000.0,NEW-20250709132710,إنشاء مخزون جديد,2025-07-09 13:27:10.682829,1,40
68,out,514.0,نزلت تحت,نزلت تحت,2025-07-10 09:34:08.444600,1,32
69,adjustment,0.0,,جرد مخزون لمخزن مخزن منتج نهائي. الكمية السابقة: 1.00,2025-07-10 09:35:55.945538,1,31
70,adjustment,0.0,,جرد مخزون لمخزن مخزن منتج نهائي. الكمية السابقة: 1.00,2025-07-10 09:35:56.116159,1,36
71,adjustment,0.0,,جرد مخزون لمخزن مخزن منتج نهائي. الكمية السابقة: 1.00,2025-07-10 09:35:56.160703,1,37
72,out,528.0,ASM-4,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #4,2025-07-10 13:49:43.889341,1,8
73,out,486.0,ASM-4,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #4,2025-07-10 13:49:43.889341,1,9
74,out,1014.0,ASM-4,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #4,2025-07-10 13:49:43.889341,1,33
75,out,2028.0,ASM-4,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #4,2025-07-10 13:49:43.889341,1,32
76,in,2017.0,NEW-20250712061938,إنشاء مخزون جديد,2025-07-12 06:19:38.347985,1,41
77,in,1106.0,السواق من المحل 152 كيلو,152 كيلو,2025-07-12 07:08:39.498607,1,1
78,out,75.0,محمد جمال,,2025-07-12 09:03:46.119767,1,9
79,out,1.0,نزلت تحت,,2025-07-12 09:04:16.553155,1,29
80,in,4.0,من المحل شركه باندا,,2025-07-12 09:39:44.688812,1,29
81,out,4.0,,,2025-07-12 09:42:51.688079,1,29
82,in,4.0,,,2025-07-12 09:44:12.403211,1,29
83,out,4.0,ADJ-20250712094514,تسوية يدوية: ,2025-07-12 09:45:14.987916,1,29
84,out,660.0,ASM-5,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #5,2025-07-12 12:01:43.992933,1,8
85,out,1074.0,ASM-5,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #5,2025-07-12 12:01:44.009562,1,10
86,out,1074.0,ASM-5,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #5,2025-07-12 12:01:44.009562,1,28
87,out,414.0,ASM-5,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #5,2025-07-12 12:01:44.009562,1,9
88,out,787.35,CUT-ORD-20250709-1445,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250709-1445,2025-07-12 12:13:09.791890,1,40
89,out,1010.0,CUT-ORD-20250712-1446,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250712-1446,2025-07-12 13:06:16.356545,1,41
90,out,480.0,ASM-6,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #6,2025-07-13 07:40:33.530920,1,8
91,out,335.0,ASM-6,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #6,2025-07-13 07:40:33.530920,1,9
92,out,815.0,ASM-6,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #6,2025-07-13 07:40:33.530920,1,33
93,out,1650.0,ASM-6,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #6,2025-07-13 07:40:33.547128,1,32
94,in,10000.0,عدد وهمي قريب للحقيقه من بعيد,,2025-07-13 10:51:35.752635,1,32
95,out,920.0,ASM-7,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #7,2025-07-13 10:55:36.452324,1,9
96,out,1850.0,ASM-7,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #7,2025-07-13 10:55:36.467767,1,32
97,out,920.0,ASM-7,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #7,2025-07-13 10:55:36.469217,1,33
98,in,1919.0,ADD-20250714090646,إنشاء مخزون جديد,2025-07-14 09:06:46.705488,1,42
99,in,18009.0,2001 meter *9 = دبلان اسمر,2001 meter *9 = دبلان اسمر,2025-07-16 13:42:35.937065,1,32
100,in,2.0,2001 meter *9 = دبلان اسمر,2001 meter *9 = دبلان اسمر,2025-07-16 13:44:20.534922,1,32
101,in,1.0,test,,2025-07-19 08:32:17.647777,1,2
102,out,945.0,CUT-ORD-20250719-1449,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250719-1449,2025-07-19 08:49:46.769718,1,42
103,out,71.0,ASM-8,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #8,2025-07-19 08:52:07.510883,1,9
104,out,612.0,ASM-8,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #8,2025-07-19 08:52:07.526719,1,8
105,out,2520.0,ASM-8,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #8,2025-07-19 08:52:07.526719,1,32
106,out,1000.0,CUT-ORD-20250713-1447,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250713-1447,2025-07-19 09:19:07.477876,1,41
107,in,1.0,ADD-20250719094649,إنشاء مخزون جديد,2025-07-19 09:46:49.831424,1,43
108,in,4000.0,نزلت تحت,,2025-07-19 09:47:40.616762,1,43
109,out,973.0,CUT-ORD-20250719-1448,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250719-1448,2025-07-19 10:02:17.230622,1,42
110,out,888.82,CUT-ORD-20250719-1450,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250719-1450,2025-07-19 10:08:55.658725,1,43
111,out,1038.4,CUT-ORD-20250717-1451,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250717-1451,2025-07-19 10:31:58.625541,1,43
112,out,360.0,ASM-9,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #9,2025-07-19 12:36:45.019956,1,8
113,out,410.0,ASM-9,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #9,2025-07-19 12:36:45.034932,1,9
114,out,1560.0,ASM-9,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #9,2025-07-19 12:36:45.034932,1,32
115,out,414.0,ASM-10,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #10,2025-07-21 07:53:23.165137,1,8
116,out,426.0,ASM-10,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #10,2025-07-21 07:53:23.171811,1,9
117,out,7100.0,ASM-10,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #10,2025-07-21 07:53:23.176855,1,28
118,in,10000.0,,,2025-07-21 12:35:54.677146,1,33
119,out,1350.0,ASM-11,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #11,2025-07-21 12:36:43.674389,1,9
120,out,2700.0,ASM-11,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #11,2025-07-21 12:36:43.676384,1,32
121,out,1350.0,ASM-11,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #11,2025-07-21 12:36:43.679425,1,33
122,in,1000.0,من المخزن,,2025-07-21 12:50:31.987817,1,40
123,in,1.0,ADD-20250721125121,إنشاء مخزون جديد,2025-07-21 12:51:21.747362,1,44
124,in,1000.0,نزلت تحت,,2025-07-21 12:51:53.905993,1,27
125,in,1000.0,نزلت تحت,,2025-07-21 12:52:24.307189,1,44
126,out,1000.0,بالخطا,,2025-07-21 12:52:53.857605,1,27
127,out,690.7,CUT-ORD-20250721-1452,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250721-1452,2025-07-21 13:04:31.993097,1,44
128,out,873.44,CUT-ORD-20250721-1453,استهلاك قماش لعملية القص لأمر الإنتاج #ORD-20250721-1453,2025-07-21 13:07:16.407615,1,40
129,out,50.0,ابو ساجد,,2025-07-21 13:19:38.557000,1,18
130,adjustment,600.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 640.00,2025-07-21 13:26:52.373773,1,19
131,adjustment,250.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 329.00,2025-07-21 13:26:52.424659,1,18
132,adjustment,250.0,,جرد مخزون لمخزن مخزن المصنع (مواد خام و تعبئه). الكمية السابقة: 350.00,2025-07-21 13:26:52.475001,1,17
133,out,50.0,ام ريناد,,2025-07-21 13:32:56.161734,1,18
134,out,2.0,مكنه الجيوب محمد جمال,,2025-07-21 13:39:49.883197,1,17
135,out,1400.0,ASM-12,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #12,2025-07-22 09:35:33.049826,1,32
136,out,688.0,ASM-12,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #12,2025-07-22 09:35:33.057829,1,33
137,out,688.0,ASM-12,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #12,2025-07-22 09:35:33.059826,1,9
138,out,624.0,ASM-13,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #13,2025-07-22 09:58:52.121175,1,8
139,out,624.0,ASM-13,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #13,2025-07-22 09:58:52.123171,1,33
140,out,1248.0,ASM-13,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #13,2025-07-22 09:58:52.125166,1,32
141,out,820.0,ASM-14,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #14,2025-07-22 11:07:16.645211,1,9
142,out,1650.0,ASM-14,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #14,2025-07-22 11:07:16.652776,1,32
143,out,820.0,ASM-14,صرف مكونات من مخزن 'مخزن المصنع (مواد خام و تعبئه)' لعملية تجميع #14,2025-07-22 11:07:16.654770,1,33
144,in,20000.0,ADD-20250723101202,إنشاء مخزون جديد,2025-07-23 10:12:02.646232,1,45
145,in,10000.0,ADD-20250723101254,إنشاء مخزون جديد,2025-07-23 10:12:54.045339,1,46
146,in,1.0,ADD-20250723101358,إنشاء مخزون جديد,2025-07-23 10:13:58.945219,1,47
147,in,2000.0,ADD-20250723101416,إنشاء مخزون جديد,2025-07-23 10:14:16.946680,1,48
148,in,10000.0,ADD-20250723101439,إنشاء مخزون جديد,2025-07-23 10:14:39.495262,1,49
149,in,20000.0,ADD-20250723101457,إنشاء مخزون جديد,2025-07-23 10:14:57.815048,1,50
150,in,15000.0,ADD-20250723101540,إنشاء مخزون جديد,2025-07-23 10:15:40.945131,1,51
151,in,25000.0,ADD-20250723101627,إنشاء مخزون جديد,2025-07-23 10:16:27.145180,1,52
152,in,20000.0,ADD-20250723101708,إنشاء مخزون جديد,2025-07-23 10:17:08.414713,1,53
153,in,45000.0,ADD-20250723101744,إنشاء مخزون جديد,2025-07-23 10:17:44.216310,1,54
154,in,15000.0,ADD-20250723101825,إنشاء مخزون جديد,2025-07-23 10:18:25.744419,1,55
155,in,5000.0,ADD-20250723101847,إنشاء مخزون جديد,2025-07-23 10:18:47.914873,1,56
156,in,10000.0,ADD-20250723101914,إنشاء مخزون جديد,2025-07-23 10:19:14.931739,1,57
157,in,15000.0,ADD-20250723101951,إنشاء مخزون جديد,2025-07-23 10:19:51.944628,1,58
158,in,19450.0,محمد جمال,العد التقريبي,2025-07-23 10:22:28.026853,1,25
159,out,3300.0,محمد جمال,,2025-07-23 10:23:03.559067,1,20
160,out,1650.0,محمد جمال,,2025-07-23 10:23:48.089226,1,24
161,in,273.0,محمد جمال,,2025-07-23 10:25:47.138974,1,16
162,out,700.0,محمد جمال,,2025-07-24 05:52:54.893824,1,53
163,out,1100.0,محمد جمال,,2025-07-24 06:09:42.093429,1,25
